lambda,E0_exact,E1_exact,ground_weight_0,ground_weight_1,c_I,c_X,c_Z
0.0,0.0,4.0,1.0,0.0,2.0,0.0,-2.0
0.01,0.029998984771835203,3.9700010152281644,0.9999997423280098,2.576719902558932e-07,2.0,0.002,-1.97
0.02,0.05999587629304251,3.9400041237069576,0.9999989371911875,1.0628088123867491e-06,2.0,0.004,-1.94
0.03,0.08999057593947983,3.91000942406052,0.9999975329806227,2.46701937735577e-06,2.0,0.006,-1.91
0.04,0.11998297880045777,3.880017021199542,0.9999954731262134,4.526873786324733e-06,2.0,0.008,-1.88
0.05,0.1499729731703918,3.8500270268296086,0.9999926955581685,7.304441831467211e-06,2.0,0.010000000000000002,-1.85
0.06,0.17996043999038308,3.820039560009617,0.9999891321017174,1.0867898282585903e-05,2.0,0.012,-1.82
0.07,0.20994525223388769,3.7900547477661126,0.9999847077956191,1.5292204381078896e-05,2.0,0.014000000000000002,-1.79
0.08,0.23992727422984023,3.7600727257701596,0.9999793401235372,2.0659876462757253e-05,2.0,0.016,-1.76
0.09,0.2699063609156873,3.7300936390843127,0.9999729381456017,2.7061854398310227e-05,2.0,0.018,-1.73
0.1,0.2998823570117273,3.700117642988273,0.9999654015153724,3.4598484627792855e-05,2.0,0.020000000000000004,-1.7
0.11,0.32985509610692765,3.670144903893072,0.999956619364962,4.338063503789974e-05,2.0,0.022000000000000002,-1.67
0.12,0.3598243996449649,3.640175600355035,0.9999464690381333,5.3530961866871204e-05,2.0,0.024,-1.6400000000000001
0.13,0.3897900757975686,3.6102099242024313,0.9999348146476816,6.518535231839995e-05,2.0,0.026000000000000002,-1.6099999999999999
0.14,0.41975191821030844,3.5802480817896916,0.9999215054292582,7.849457074192137e-05,2.0,0.028000000000000004,-1.58
0.15,0.4497097046036829,3.5502902953963167,0.9999063738587605,9.362614123919475e-05,2.0,0.03,-1.55
0.16,0.47966319520969297,3.520336804790307,0.9998892334944315,0.00011076650556829613,2.0,0.032,-1.52
0.17,0.5096121310209212,3.490387868979079,0.9998698764975374,0.00013012350246267558,2.0,0.034,-1.49
0.18,0.5395562318254085,3.4604437681745916,0.9998480707767522,0.00015192922324773218,2.0,0.036,-1.46
0.19,0.5694951939961893,3.4305048060038104,0.9998235566907251,0.00017644330927516156,2.0,0.038000000000000006,-1.43
0.2,0.5994286879990723,3.4005713120009275,0.9997960432303477,0.00020395676965263113,2.0,0.04000000000000001,-1.4
0.21,0.629356355575965,3.3706436444240353,0.9997652035864121,0.00023479641358760666,2.0,0.042,-1.37
0.22,0.6592778065534979,3.340722193446502,0.9997306699888939,0.00026933001110606005,2.0,0.044000000000000004,-1.3399999999999999
0.23,0.6891926152176285,3.3108073847823714,0.9996920276801362,0.0003079723198635685,2.0,0.046000000000000006,-1.31
0.24,0.7191003161839722,3.280899683816028,0.9996488078545903,0.0003511921454096567,2.0,0.048,-1.28
0.25,0.7490003996803196,3.2509996003196804,0.9996004793608949,0.0003995206391052884,2.0,0.05,-1.25
0.26,0.7788923061416737,3.2211076938583263,0.9995464389161182,0.00045356108388210607,2.0,0.052000000000000005,-1.22
0.27,0.8087754199983952,3.191224580001605,0.9994859995242864,0.0005140004757135107,2.0,0.054000000000000006,-1.19
0.28,0.8386490625138326,3.1613509374861675,0.999418376718629,0.0005816232813707673,2.0,0.05600000000000001,-1.16
0.29,0.8685124834979397,3.1314875165020597,0.9993426721548554,0.0006573278451444199,2.0,0.057999999999999996,-1.1300000000000001
0.3,0.898364851686367,3.101635148313633,0.9992578539654731,0.0007421460345269396,2.0,0.06,-1.1
0.31,0.9282052435284076,3.0717947564715926,0.9991627331348862,0.0008372668651136198,2.0,0.062,-1.07
0.32,0.9580326300694441,3.041967369930556,0.9990559349614343,0.0009440650385659651,2.0,0.064,-1.04
0.33,0.9878458615408422,3.0121541384591577,0.9989358644215804,0.0010641355784194793,2.0,0.066,-1.01
0.34,1.017643649178161,2.982356350821839,0.9988006639241108,0.0011993360758891965,2.0,0.068,-0.98
0.35000000000000003,1.0474245436712115,2.9525754563287885,0.9986481615122047,0.001351838487795211,2.0,0.07,-0.95
0.36,1.0771869094990036,2.9228130905009966,0.9984758070025487,0.0015241929974514538,2.0,0.072,-0.9199999999999999
0.37,1.1069288942083053,2.8930711057916945,0.9982805927927919,0.0017194072072077694,2.0,0.074,-0.8900000000000001
0.38,1.1366483914418184,2.8633516085581814,0.9980589550508981,0.001941044949101957,2.0,0.07600000000000001,-0.8599999999999999
0.39,1.1663429961908793,2.8336570038091207,0.9978066496218403,0.0021933503781597576,2.0,0.07800000000000001,-0.8300000000000001
0.4,1.196009950310329,2.803990049689671,0.9975185951049943,0.002481404895005434,2.0,0.08000000000000002,-0.7999999999999998
0.41000000000000003,1.2256460757508878,2.7743539242491124,0.9971886729615694,0.002811327038430336,2.0,0.08200000000000002,-0.77
0.42,1.2552476921821591,2.744752307817841,0.9968094709019665,0.003190529098033516,2.0,0.084,-0.74
0.43,1.2848105146186781,2.715189485381322,0.9963719507295644,0.003628049270435622,2.0,0.08600000000000001,-0.71
0.44,1.3143295252090843,2.6856704747909155,0.995865014610229,0.004134985389771229,2.0,0.08800000000000001,-0.6799999999999999
0.45,1.3437988113390833,2.6562011886609165,0.9952749333831814,0.004725066616818559,2.0,0.09000000000000001,-0.6499999999999999
0.46,1.373211359388191,2.6267886406118093,0.9945845854790997,0.00541541452090056,2.0,0.09200000000000001,-0.6199999999999999
0.47000000000000003,1.402558789503101,2.597441210496899,0.9937724328635532,0.006227567136446848,2.0,0.09400000000000001,-0.5899999999999999
0.48,1.4318310110539296,2.5681689889460704,0.9928111274066332,0.007188872593366674,2.0,0.096,-0.56
0.49,1.461015770175045,2.538984229824955,0.9916655911919049,0.008334408808095248,2.0,0.098,-0.53
0.5,1.4900980486407214,2.5099019513592786,0.9902903378454598,0.009709662154539918,2.0,0.1,-0.5
0.51,1.5190592552091264,2.4809407447908733,0.9886256831955144,0.011374316804485687,2.0,0.10200000000000001,-0.47
0.52,1.5478761231697669,2.452123876830233,0.9865923063882052,0.013407693611794913,2.0,0.10400000000000001,-0.43999999999999995
0.53,1.576519185794681,2.4234808142053192,0.9840833235495963,0.015916676450403622,2.0,0.10600000000000001,-0.4099999999999999
0.54,1.6049506359959558,2.3950493640040444,0.9809525525474704,0.01904744745252947,2.0,0.10800000000000001,-0.3799999999999999
0.55,1.633121273443117,2.3668787265568825,0.9769968584506278,0.023003141549372285,2.0,0.11000000000000001,-0.34999999999999987
0.56,1.6609660783933267,2.3390339216066733,0.9719291781830084,0.028070821816991318,2.0,0.11200000000000002,-0.31999999999999984
