lambda,E0_exact,E1_exact,E2_exact,E3_exact,entropy_A_ground,weight_00,weight_01,weight_10,weight_11
0.0,0.0,2.5,6.5,7.0,-0.0,1.0,0.0,0.0,0.0
0.01,0.029942857609321832,2.4699000024998754,6.4700999975001245,7.030057142390678,0.00014975263224649473,0.9999918369346049,0.0,0.0,8.163065394860828e-06
0.02,0.059771436034498054,2.439600039992002,6.440399960007998,7.0602285639655005,0.0005336696828581645,0.9999673501370945,0.0,0.0,3.264986290538228e-05
0.03,0.0894857520644199,2.4091002024089265,6.410899797591074,7.090514247935579,0.0011146858706749482,0.9999265468015331,0.0,0.0,7.345319846696579e-05
0.04,0.11908583367143946,2.378400639488511,6.381599360511489,7.120914166328561,0.001872975616503206,0.9998694389115058,0.0,0.0,0.00013056108849409845
0.05,0.14857171999768076,2.3475015605499214,6.352498439450078,7.15142828000232,0.0027946150241750347,0.9997960432303477,0.0,0.0,0.00020395676965263108
0.06,0.1779434613358967,2.316403234181089,6.323596765818911,7.182056538664103,0.0038687940551470007,0.9997063812874808,0.0,0.0,0.00029361871251909905
0.07,0.20720111910489503,2.285105987838759,6.294894012161242,7.212798880895106,0.005086636511236523,0.9996004793608949,0.0,0.0,0.0003995206391052884
0.08,0.23634476581955913,2.2536102073624873,6.266389792637512,7.243655234180441,0.006440584656761618,0.9994783684557796,0.0,0.0,0.0005216315442201166
0.09,0.26537448505550026,2.2219163364042824,6.238083663595715,7.274625514944497,0.00792403667345885,0.9993400842793652,4.81482486096809e-35,5.577386809980149e-37,0.0006599157206348478
0.1,0.2942903714083792,2.1900248757758223,6.209975124224178,7.305709628591621,0.009531114918685206,0.9991856672119884,0.0,0.0,0.0008143327880116815
0.11,0.3230925304479447,2.1579363827154965,6.182063617284504,7.336907469552055,0.011256508822082949,0.9990151622744501,0.0,0.0,0.0009848377255499206
0.12,0.35178107866684005,2.1256514700777327,6.154348529922267,7.36821892133316,0.013095363530907284,0.9988286190917021,0.0,0.0,0.0011713809082981386
0.13,0.3803561434242363,2.093170805447323,6.126829194552677,7.3996438565757625,0.0150431981758445,0.9986260918529251,0.0,0.0,0.0013739081470751997
0.14,0.40881786288435334,2.060495110181706,6.099504889818294,7.431182137115647,0.017095844166187785,0.9984076392680626,0.0,0.0,0.0015923607319375014
0.15,0.4371663859499408,2.027625158384332,6.072374841615668,7.4628336140500595,0.01924939751579758,0.9981733245208758,0.0,0.0,0.0018266754791245116
0.16,0.46540187219079054,1.9945617758124536,6.045438224187546,7.49459812780921,0.021500181290165073,0.9979232152185906,0.0,0.0,0.002076784781409565
0.17,0.49352449176736046,1.96130583872285,6.01869416127715,7.5264755082326396,0.023844715537118123,0.997657383338222,0.0,0.0,0.0023426166617779116
0.18,0.5215344253495957,1.9278582726591138,5.9921417273408855,7.558465574650403,0.026279692869260782,0.9973759051696507,4.333342374871281e-34,2.0467324041706174e-35,0.0026240948303493175
0.19,0.5494318640310341,1.8942200511843132,5.965779948815687,7.590568135968967,0.02880195839338387,0.997078861255542,0.0,0.0,0.0029211387444579378
0.2,0.5772170092382928,1.8603921945628858,5.939607805437115,7.622782990761706,0.03140849303709084,0.996766336328202,0.0,0.0,0.0032336636717979063
0.21,0.6048900726360319,1.826375768395765,5.913624231604235,7.655109927363968,0.03409639956789298,0.9964384192434609,0.0,0.0,0.003561580756538976
0.22,0.632451276027502,1.792171882212767,5.887828117787233,7.6875487239724976,0.03686289077293536,0.9960952029116873,0.0,0.0,0.0039047970883127263
0.23,0.6599008512507755,1.7577816880263448,5.862218311973654,7.720099148749225,0.03970527939185166,0.9957367842260338,0.0,0.0,0.0042632157739661836
0.24,0.6872390400707834,1.7232063788508096,5.836793621149191,7.7527609599292155,0.042620969486299884,0.9953632639880235,0.0,0.0,0.0046367360119764535
0.25,0.7144660940672622,1.6884471871911697,5.811552812808831,7.785533905932738,0.045607448997357636,0.9949747468305835,0.0,0.0,0.0050252531694167345
0.26,0.7415822745187363,1.6535053835056819,5.786494616494318,7.818417725481264,0.04866228329299883,0.9945713411386387,0.0,0.0,0.005428658861361335
0.27,0.768587852282652,1.6183822746462124,5.761617725353787,7.851412147717348,0.05178310954680345,0.9941531589673851,0.0,0.0,0.005846841032614726
0.28,0.7954831076717945,1.5830792022804527,5.736920797719547,7.884516892328206,0.054967631819174426,0.9937203159583525,0.0,0.0,0.006279684041647321
0.29,0.8222683303271088,1.5475975412999532,5.712402458700047,7.917731669672891,0.05821361673580344,0.9932729312533816,0.0,0.0,0.0067270687466186125
0.3,0.8489438190870592,1.51193869821789,5.68806130178211,7.951056180912941,0.0615188896766953,0.9928111274066332,0.0,0.0,0.0071888725933666724
