lambda,E0_exact,E0_vqe,E_even,E_odd,abs_error,best_sector
0.0,0.0,3.4512664603419266e-31,3.4512664603419266e-31,2.50000000000062,3.4512664603419266e-31,even
0.01,0.029942857609321832,0.02994285760932191,0.02994285760932191,2.469900002500541,7.632783294297951e-17,even
0.02,0.059771436034498054,0.05977143603450225,0.05977143603450225,2.4396000399927043,4.198030811863873e-15,even
0.03,0.0894857520644199,0.08948575206446316,0.08948575206446316,2.409100202409654,4.325706459695766e-14,even
0.04,0.11908583367143946,0.11908583367165845,0.11908583367165845,2.3784006394892523,2.1899149160731213e-13,even
0.05,0.14857171999768076,0.14857171999843374,0.14857171999843374,2.347501560550664,7.529810108763968e-13,even
0.06,0.1779434613358967,0.17794346133792416,0.17794346133792416,2.31640323418182,2.0274615319948452e-12,even
0.07,0.20720111910489503,0.2072011191095076,0.2072011191095076,2.2851059878394646,4.612560333683291e-12,even
0.08,0.23634476581955913,0.23634476582142752,0.23634476582142752,2.2536102073631548,1.868394328141676e-12,even
0.09,0.26537448505550026,0.26537448505558564,0.26537448505558564,2.2219163364048975,8.537615059367454e-14,even
0.1,0.2942903714083792,0.2942903714083852,0.2942903714083852,2.190024875776373,5.995204332975845e-15,even
0.11,0.3230925304479447,0.32309253044795444,0.32309253044795444,2.1579363827159725,9.71445146547012e-15,even
0.12,0.35178107866684005,0.35178107866685543,0.35178107866685543,2.1256514700781244,1.5376588891058418e-14,even
0.13,0.3803561434242363,0.3803561434242593,0.3803561434242593,2.0931708054476243,2.298161660974074e-14,even
0.14,0.40881786288435334,0.4088178628843867,0.4088178628843867,2.0604951101819164,3.3362201889985954e-14,even
0.15,0.4371663859499408,0.4371663859499876,0.4371663859499876,2.0276251583844567,4.679590048795035e-14,even
0.16,0.46540187219079054,0.46540187219085455,0.46540187219085455,1.994561775812507,6.400435736964027e-14,even
0.17,0.49352449176736046,0.49352449176744606,0.49352449176744606,1.9613058387228577,8.559819519859957e-14,even
