pauli,c_epsilon,c_V,c_W,c_padding,coefficient_expression
III,0.0,0.0,1.25,0.375,1.25 W + 0.375 Delta
IIZ,0.0,0.0,-0.25,-0.125,-0.25 W - 0.125 Delta
IXI,0.0,1.3623724356957945,0.0,0.0,1.3623724357 V
IXZ,0.0,-0.13762756430420553,0.0,0.0,-0.137627564304 V
IZI,-0.25,0.0,-0.5,-0.125,-0.25 epsilon - 0.5 W - 0.125 Delta
IZZ,0.25,0.0,-0.5,-0.125,0.25 epsilon - 0.5 W - 0.125 Delta
XXI,0.0,0.6123724356957945,0.0,0.0,0.612372435696 V
XXZ,0.0,0.6123724356957945,0.0,0.0,0.612372435696 V
YYI,0.0,0.6123724356957945,0.0,0.0,0.612372435696 V
YYZ,0.0,0.6123724356957945,0.0,0.0,0.612372435696 V
ZII,-0.5,0.0,1.25,-0.375,-0.5 epsilon + 1.25 W - 0.375 Delta
ZIZ,-0.5,0.0,-0.25,0.125,-0.5 epsilon - 0.25 W + 0.125 Delta
ZXI,0.0,1.3623724356957945,0.0,0.0,1.3623724357 V
ZXZ,0.0,-0.13762756430420553,0.0,0.0,-0.137627564304 V
ZZI,-0.75,0.0,-0.5,0.125,-0.75 epsilon - 0.5 W + 0.125 Delta
ZZZ,-0.25,0.0,-0.5,0.125,-0.25 epsilon - 0.5 W + 0.125 Delta
