J,V,exact_E0,vqe_E0,abs_error_E0,success_E0,iterations_E0,exact_E1,vqe_E1,abs_error_E1,success_E1,iterations_E1,exact_E2,vqe_E2,abs_error_E2,success_E2,iterations_E2,exact_E3,vqe_E3,abs_error_E3,success_E3,iterations_E3,exact_E4,vqe_E4,abs_error_E4,success_E4,iterations_E4,max_abs_error
2,0.0,-2.0,-2.0,0.0,True,0,-1.0,-1.0,0.0,True,0,0.0,0.0,0.0,True,0,1.0,1.0,0.0,True,0,2.0,2.0,0.0,True,0,0.0
2,0.06666666666666667,-2.0132891827388666,-2.0132891827388666,0.0,True,22,-1.019803902718557,-1.0198039027185568,2.220446049250313e-16,True,36,4.336808689942018e-19,-5.591213437017e-17,5.634581523916421e-17,True,16,1.019803902718557,1.0198039027185568,2.220446049250313e-16,True,13,2.0132891827388666,2.0132891827388666,0.0,True,8,2.220446049250313e-16
2,0.13333333333333333,-2.052640575778754,-2.0526405757787534,4.440892098500626e-16,True,11,-1.077032961426901,-1.0770329614269007,2.220446049250313e-16,True,21,6.288372600415926e-18,-3.107090524395758e-18,9.395463124811684e-18,True,24,1.077032961426901,1.0770329614269007,2.220446049250313e-16,True,27,2.052640575778754,2.052640575778754,0.0,True,1,4.440892098500626e-16
2,0.2,-2.116601048851672,-2.1166010488516727,4.440892098500626e-16,True,21,-1.1661903789690602,-1.16619037896906,2.220446049250313e-16,True,5,-2.168404344971009e-17,-1.513092092115256e-18,2.0170951357594832e-17,True,18,1.1661903789690602,1.1661903789690602,0.0,True,0,2.116601048851672,2.116601048851672,0.0,True,1,4.440892098500626e-16
2,0.26666666666666666,-2.2030282189144406,-2.2030282189144414,8.881784197001252e-16,True,22,-1.2806248474865698,-1.2806248474865698,0.0,True,52,-5.117434254131581e-17,1.5184616294546983e-17,6.63589588358628e-17,True,18,1.2806248474865698,1.2806248474865698,0.0,True,13,2.203028218914441,2.2030282189144406,4.440892098500626e-16,True,5,8.881784197001252e-16
2,0.3333333333333333,-2.309401076758503,-2.309401076758503,0.0,True,6,-1.4142135623730951,-1.414213562373095,2.220446049250313e-16,True,23,3.9898639947466563e-17,-6.112966775399277e-18,4.601160672286584e-17,True,6,1.4142135623730951,1.414213562373095,2.220446049250313e-16,True,14,2.3094010767585025,2.3094010767585034,8.881784197001252e-16,True,8,8.881784197001252e-16
2,0.4,-2.4331050121192876,-2.4331050121192876,0.0,True,12,-1.562049935181331,-1.5620499351813313,2.220446049250313e-16,True,20,4.7704895589362195e-17,-3.4183359889185e-17,8.188825547854719e-17,True,26,1.562049935181331,1.562049935181331,0.0,True,13,2.433105012119288,2.433105012119288,0.0,True,8,2.220446049250313e-16
2,0.4666666666666667,-2.5716402029314547,-2.5716402029314542,4.440892098500626e-16,True,21,-1.7204650534085253,-1.7204650534085255,2.220446049250313e-16,True,21,1.0928757898653885e-16,-4.1892971203517033e-17,1.511805501900559e-16,True,22,1.7204650534085253,1.7204650534085253,0.0,True,14,2.571640202931455,2.5716402029314542,8.881784197001252e-16,True,6,8.881784197001252e-16
2,0.5333333333333333,-2.7227437142216178,-2.722743714221618,4.440892098500626e-16,True,21,-1.8867962264113207,-1.8867962264113212,4.440892098500626e-16,True,28,-9.8879238130678e-17,-8.37209179789883e-19,9.804202895088812e-17,True,14,1.8867962264113207,1.8867962264113212,4.440892098500626e-16,True,14,2.7227437142216178,2.722743714221618,4.440892098500626e-16,True,1,4.440892098500626e-16
2,0.6,-2.884441020371191,-2.884441020371191,0.0,True,52,-2.0591260281974,-2.0591260281974004,4.440892098500626e-16,True,11,-4.336808689942018e-17,3.4681899668338926e-17,7.80499865677591e-17,True,19,2.0591260281974,2.0591260281974,0.0,True,22,2.884441020371191,2.884441020371191,0.0,True,7,4.440892098500626e-16
