ansatz,layers,V,exact_E0,vqe_E0,abs_error
Product Ry only,0,0.0,-2.0,-2.0,0.0
Product Ry only,0,0.25,-2.1794494717703365,-2.177704063193837,0.0017454085764994076
Product Ry only,0,0.5,-2.6457513110645907,-2.613276525618206,0.032474785446384935
Product Ry only,0,0.75,-3.278719262151001,-3.1644323365741176,0.11428692557688347
Product Ry only,0,1.0,-3.9999999999999996,-3.765484130701935,0.23451586929806467
Product Ry only,0,1.25,-4.769696007084727,-4.391293362599028,0.37840264448569894
Product Ry only,0,1.5,-5.567764362830021,-5.031031785903337,0.536732576926684
Product Ry only,0,1.75,-6.383572667401853,-5.6793747759922075,0.7041978914096454
Product Ry only,0,2.0,-7.211102550927979,-6.3334129715189755,0.8776895794090036
One-layer Ry-CNOT-Ry,1,0.0,-2.0,-2.0,0.0
One-layer Ry-CNOT-Ry,1,0.25,-2.1794494717703365,-2.1794494717703365,0.0
One-layer Ry-CNOT-Ry,1,0.5,-2.6457513110645907,-2.6457513110645907,0.0
One-layer Ry-CNOT-Ry,1,0.75,-3.278719262151001,-3.2787192621510006,4.440892098500626e-16
One-layer Ry-CNOT-Ry,1,1.0,-3.9999999999999996,-3.9999999999999996,0.0
One-layer Ry-CNOT-Ry,1,1.25,-4.769696007084727,-4.769696007084728,8.881784197001252e-16
One-layer Ry-CNOT-Ry,1,1.5,-5.567764362830021,-5.567764362830022,1.7763568394002505e-15
One-layer Ry-CNOT-Ry,1,1.75,-6.383572667401853,-6.383572667401854,8.881784197001252e-16
One-layer Ry-CNOT-Ry,1,2.0,-7.211102550927979,-7.211102550927979,0.0
